locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name
SL1344_4363,1,0.54843,1.0,6e-06,d2,iolG2
SL1344_3607,3,0.58673,1.0,6e-06,d2,yhjY
SL1344_4478,1,0.54571,1.0,6e-06,d2,yjjQ
SL1344_0278,3,0.31436,1.0,6e-06,d2,sciQ
SL1344_0021,1,0.55293,1.0,6e-06,d2,bcfA
SL1344_2363,2,0.42601,1.0,6e-06,d2,pgtE
SL1344_0622,1,0.54953,1.0,6e-06,d2,ybeF
SL1344_4418,2,0.45605,1.0,6e-06,d2,SL1344_4418
SL1344_2496,1,0.55227,1.0,6e-06,d2,SL1344_2496
SL1344_4307,3,0.51911,1.0,6e-06,d2,yjfL
SL1344_2057,1,0.55114,1.0,6e-06,d2,udg
SL1344_2109,3,0.56716,1.0,6e-06,d2,SL1344_2109
SL1344_1359,1,0.55729,1.0,6e-06,d2,cfa
SL1344_4490,1,0.55652,1.0,6e-06,d2,yjjU
SL1344_2129,1,0.55655,1.0,6e-06,d2,stcA
SL1344_3445,2,0.51274,1.0,6e-06,d2,bigA
SL1344_1218,2,0.57173,1.0,6e-06,d2,yeaJ
SL1344_1005,1,0.55938,1.0,6e-06,d2,ymbA
SL1344_0302,3,0.33675,1.0,6e-06,d2,pagN
SL1344_2698,5,0.29941,1.0,6e-06,d2,SL1344_2698
SL1344_0708,1,0.56201,1.0,6e-06,d2,SL1344_0708
SL1344_2119,1,0.56071,1.0,6e-06,d2,yegT
SL1344_2221,1,0.56328,1.0,6e-06,d2,SL1344_2221
SL1344_P2_0092,3,0.32001,1.0,6e-06,d2,pilO
SL1344_3656,1,0.56224,1.0,6e-06,d2,sadA
SL1344_P1_0027,2,0.49272,1.0,6e-06,d2,traP
SL1344_0632,1,0.56422,1.0,6e-06,d2,cobD
SL1344_4270,1,0.5642,1.0,6e-06,d2,yjeK
SL1344_3010,1,0.56539,1.0,6e-06,d2,SL1344_3010
SL1344_0512,1,0.5671,1.0,6e-06,d2,garRa
SL1344_4199,1,0.56741,1.0,6e-06,d2,yjcB
SL1344_3092,3,0.49243,1.0,6e-06,d2,SL1344_3092
SL1344_3098,1,0.56894,1.0,6e-06,d2,SL1344_3098
SL1344_0335,1,0.57038,1.0,6e-06,d2,stbA
SL1344_0515,2,0.38136,1.0,6e-06,d2,allP
SL1344_1099,1,0.57372,1.0,6e-06,d2,dinI
SL1344_0684,1,0.573,1.0,6e-06,d2,kdpE
SL1344_1329,4,0.43764,1.0,6e-06,d2,ssaD
SL1344_3987,1,0.57341,1.0,6e-06,d2,SL1344_3987
SL1344_0018,2,0.41789,1.0,6e-06,d2,chiA
SL1344_2765,1,0.57881,1.0,6e-06,d2,mig-14
SL1344_2242,5,0.29717,1.0,6e-06,d2,SL1344_2242
SL1344_1812,1,0.57902,1.0,6e-06,d2,exoX
SL1344_4341,1,0.57882,1.0,6e-06,d2,msrA
SL1344_P1_0033,1,0.57943,1.0,6e-06,d2,traY
SL1344_1355,1,0.58187,1.0,6e-06,d2,ssaT
SL1344_0964,1,0.5796,1.0,6e-06,d2,SL1344_0964
SL1344_3717,1,0.58296,1.0,6e-06,d2,SL1344_3717
SL1344_3798,1,0.58067,1.0,6e-06,d2,yidA
SL1344_1080,1,0.58286,1.0,6e-06,d2,csgB
SL1344_2312,1,0.58419,1.0,6e-06,d2,SL1344_2312
SL1344_2955,2,0.43949,1.0,6e-06,d2,fucP
SL1344_0166,1,0.58538,1.0,6e-06,d2,speD
SL1344_2166,2,0.45751,1.0,6e-06,d2,mglA
SL1344_3126,1,0.58575,1.0,6e-06,d2,SL1344_3126
SL1344_2661,1,0.58585,1.0,6e-06,d2,bapA
SL1344_3726,1,0.58843,1.0,6e-06,d2,slsA
SL1344_4140,2,0.61157,1.0,6e-06,d2,gtrBb
SL1344_1027,4,0.42673,1.0,6e-06,d2,pipB
SL1344_4346,1,0.59704,1.0,6e-06,d2,SL1344_4346
SL1344_P3_0005,1,0.60232,1.0,6e-06,d2,SL1344_P3_0005
SL1344_2861,4,0.31623,1.0,6e-06,d2,sipA
SL1344_2152,1,0.59767,1.0,6e-06,d2,SL1344_2152
SL1344_0554,1,0.59689,1.0,6e-06,d2,ykgB
SL1344_0309,2,0.5196,1.0,6e-06,d2,dbh
SL1344_2174,1,0.59663,1.0,6e-06,d2,SL1344_2174
SL1344_4366,1,0.59615,1.0,6e-06,d2,iolH
SL1344_2862,2,0.52394,1.0,6e-06,d2,sipD
SL1344_4196,3,0.47704,1.0,6e-06,d2,siiD
SL1344_1543,1,0.60562,1.0,6e-06,d2,SL1344_1543
SL1344_P1_0014,2,0.52215,1.0,6e-06,d2,traF
SL1344_0563,1,0.60913,1.0,6e-06,d2,manY
SL1344_P1_0008,4,0.37011,1.0,6e-06,d2,traT
SL1344_P1_0011,3,0.4997,1.0,6e-06,d2,traH
SL1344_3085,1,0.60631,1.0,6e-06,d2,mutY
SL1344_4248,1,0.60504,1.0,6e-06,d2,SL1344_4248
SL1344_2876,1,0.60895,1.0,6e-06,d2,invE
SL1344_3751,1,0.60688,1.0,6e-06,d2,SL1344_3751
