Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
FQ312003.1:230634,1,-0.06099299999999999,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:2619618,1,-0.10869000000000001,1.0,0.8526469999999999,d2
mod,1,-0.061852,1.0,0.8526469999999999,d2
FQ312003.1:2454339,1,-0.075073,1.0,0.568405,d2
FQ312003.1:1703437,1,-0.23756,1.0,0.568405,d2
FQ312003.1:389818,1,-0.13364,1.0,0.568405,d2
sseA,1,-0.044531,1.0,0.568405,d2
thiM,1,-0.066854,1.0,0.568405,d2
csgD,1,-0.059072,1.0,0.568405,d2
FQ312003.1:68415,1,-0.07799,1.0,0.568405,d2
SL1344_2242,5,-0.082521,1.0,9e-06,d2
safA,2,0.06312100000000001,1.0,9e-06,d2
FQ312003.1:2041787,1,-0.026326,1.0,0.568405,d2
iolG2,1,-0.009127,1.0,0.568405,d2
SL1344_3566,1,-0.1729,1.0,0.568405,d2
FQ312003.1:2081906,1,-0.17818,1.0,0.568405,d2
SL1344_2710,1,-0.052711,1.0,0.568405,d2
pagN,4,0.0044462,1.0,9e-06,d2
ydjM,1,-0.086256,1.0,0.568405,d2
